ID,HIGH,LOW,LOAD,PREDICTION,YDELTA,msum,HOUR,DATETIME
400119,70.000000,46.500000,510.532776,466.486450,44.046326,0.086275,19,2015-09-29 19:00
100017,51.500000,42.500000,574.336670,615.360676,-41.024006,0.071428,17,2015-03-02 17:00
90615,54.000000,33.500000,487.336670,533.019178,-45.682508,0.093739,15,2015-03-01 15:00
200120,59.500000,50.500000,515.213318,489.963403,25.249915,0.049009,20,2015-05-12 20:00
350420,74.500000,59.500000,489.247131,467.090594,22.156537,0.045287,20,2015-08-28 20:00
390121,64.500000,45.000000,466.532776,450.931889,15.600887,0.033440,21,2015-09-22 21:00
150319,62.500000,42.500000,489.389221,520.816690,-31.427469,0.064218,19,2015-04-09 19:00
400113,70.000000,46.500000,485.532776,453.334239,32.198537,0.066316,13,2015-09-29 13:00
510122,43.000000,33.000000,624.583008,639.867860,-15.284852,0.024472,22,2015-12-15 22:00
230502,83.000000,54.500000,316.798554,325.993757,-9.195204,0.029025,2,2015-06-06 02:00
40509,59.500000,51.500000,527.696289,506.881146,20.815143,0.039445,9,2015-01-24 09:00
240307,75.500000,52.000000,434.798554,444.736865,-9.938311,0.022857,7,2015-06-11 07:00
320310,75.000000,58.500000,491.247131,480.499094,10.748038,0.021879,10,2015-08-06 10:00
80115,58.500000,39.500000,519.451294,536.871457,-17.420163,0.033536,15,2015-02-17 15:00
120207,59.500000,46.500000,600.336670,575.823643,24.513027,0.040832,7,2015-03-18 07:00
180502,64.500000,47.500000,339.213226,355.704457,-16.491231,0.048616,2,2015-05-02 02:00
30511,55.500000,38.000000,648.696289,602.768475,45.927814,0.070800,11,2015-01-17 11:00
340307,75.000000,59.000000,447.247101,433.338505,13.908596,0.031098,7,2015-08-20 07:00
440211,57.000000,51.000000,542.504089,536.028916,6.475173,0.011936,11,2015-10-28 11:00
140300,57.000000,42.000000,447.389221,439.514829,7.874392,0.017601,0,2015-04-02 00:00
240520,73.000000,50.000000,416.798554,421.081652,-4.283099,0.010276,20,2015-06-13 20:00
140523,57.000000,38.000000,452.389221,468.148149,-15.758928,0.034835,23,2015-04-04 23:00
400515,64.000000,51.000000,413.504028,426.065981,-12.561953,0.030379,15,2015-10-03 15:00
420407,66.000000,46.000000,533.504089,524.556624,8.947465,0.016771,7,2015-10-16 07:00
80302,53.000000,47.500000,415.451294,429.212694,-13.761400,0.033124,2,2015-02-19 02:00
330422,71.000000,59.500000,422.247101,413.577262,8.669839,0.020533,22,2015-08-14 22:00
