ID,HIGH,LOW,LOAD,PREDICTION,YDELTA,msum,HOUR,DATETIME
320411,77.500000,56.000000,484.776856,490.238999,-5.462144,0.011267,11,2014-08-08 11:00
330519,76.000000,59.500000,444.776947,434.298145,10.478802,0.023560,19,2014-08-16 19:00
480622,36.500000,22.000000,671.407410,689.030640,-17.623230,0.026248,22,2014-11-30 22:00
270009,74.000000,53.000000,462.792969,433.543268,29.249701,0.063203,9,2014-06-30 09:00
150208,57.500000,43.000000,589.858093,587.529510,2.328583,0.003948,8,2014-04-09 08:00
250211,67.000000,52.500000,489.792969,475.634590,14.158379,0.028907,11,2014-06-18 11:00
20001,41.500000,29.500000,564.033386,549.997745,14.035642,0.024884,1,2014-01-06 01:00
500113,61.000000,49.000000,546.525696,552.570924,-6.045228,0.011061,13,2014-12-09 13:00
450101,60.500000,53.000000,387.398590,356.622864,30.775726,0.079442,1,2014-11-04 01:00
190408,55.000000,46.000000,535.607910,511.566622,24.041288,0.044886,8,2014-05-09 08:00
90317,52.500000,40.500000,601.714905,607.679849,-5.964944,0.009913,17,2014-02-27 17:00
90016,42.000000,37.500000,689.715027,674.907772,14.807255,0.021469,16,2014-02-24 16:00
10515,43.500000,31.000000,605.033386,647.193707,-42.160320,0.069683,15,2014-01-04 15:00
510309,50.000000,43.500000,647.523682,617.827161,29.696521,0.045862,9,2014-12-18 09:00
460604,46.500000,26.500000,590.398621,564.031563,26.367058,0.044660,4,2014-11-16 04:00
240601,64.000000,52.500000,325.792938,322.679369,3.113569,0.009557,1,2014-06-15 01:00
90411,52.500000,41.500000,578.714905,597.493039,-18.778135,0.032448,11,2014-02-28 11:00
350523,67.000000,58.500000,357.776947,351.846130,5.930817,0.016577,23,2014-08-30 23:00
420418,59.000000,52.000000,520.085693,530.321510,-10.235817,0.019681,18,2014-10-17 18:00
420109,63.000000,53.000000,488.085693,481.928336,6.157357,0.012615,9,2014-10-14 09:00
90616,50.500000,40.000000,593.925781,568.542469,25.383312,0.042738,16,2014-03-02 16:00
510319,50.000000,43.500000,668.520691,660.298660,8.222031,0.012299,19,2014-12-18 19:00
210302,74.000000,52.500000,338.607910,329.530237,9.077673,0.026809,2,2014-05-22 02:00
520000,51.000000,44.000000,455.098694,452.129956,2.968737,0.006523,0,2014-12-22 00:00
180315,82.500000,53.500000,519.607910,466.269859,53.338051,0.102651,15,2014-05-01 15:00
430014,63.500000,55.500000,487.085693,487.236909,-0.151215,0.000310,14,2014-10-20 14:00
410123,68.500000,54.500000,381.085724,353.542440,27.543284,0.072276,23,2014-10-07 23:00
330008,87.000000,55.000000,464.776856,441.798370,22.978485,0.049440,8,2014-08-11 08:00
220219,65.500000,49.000000,470.607910,480.031782,-9.423872,0.020025,19,2014-05-28 19:00
370104,72.000000,55.000000,337.854706,331.160990,6.693715,0.019812,4,2014-09-09 04:00
400313,66.500000,48.500000,481.085693,484.979697,-3.894003,0.008094,13,2014-10-02 13:00
390522,68.000000,53.500000,384.854706,383.119826,1.734880,0.004508,22,2014-09-27 22:00
520509,48.500000,40.500000,601.517700,622.495458,-20.977757,0.034875,9,2014-12-27 09:00
90119,49.000000,39.500000,681.714905,697.348175,-15.633270,0.022932,19,2014-02-25 19:00
210205,69.000000,50.500000,386.607910,383.072091,3.535819,0.009146,5,2014-05-21 05:00
360504,84.500000,55.500000,316.854706,319.757852,-2.903146,0.009162,4,2014-09-06 04:00
150006,68.500000,49.000000,536.858093,473.540501,63.317593,0.117941,6,2014-04-07 06:00
320107,77.500000,57.000000,435.776947,424.070280,11.706667,0.026864,7,2014-08-05 07:00
510102,49.000000,40.500000,468.522705,485.040765,-16.518060,0.035256,2,2014-12-16 02:00
390512,68.000000,53.500000,423.854706,425.313091,-1.458385,0.003441,12,2014-09-27 12:00
310611,85.500000,59.000000,448.776947,454.838809,-6.061862,0.013508,11,2014-08-03 11:00
100219,57.500000,49.000000,614.925842,562.590299,52.335543,0.085109,19,2014-03-05 19:00
160601,58.500000,41.500000,420.858093,409.499986,11.358107,0.026988,1,2014-04-20 01:00
470311,50.500000,41.000000,619.398560,608.554847,10.843713,0.017507,11,2014-11-20 11:00
60301,28.500000,20.500000,715.715027,697.119334,18.595693,0.025982,1,2014-02-06 01:00
